date,home_team,away_team,home_rank,away_rank,home_points,away_points,home_played,away_played,home_won,away_won,home_drawn,away_drawn,home_lost,away_lost,home_goals_for,away_goals_for,home_goals_against,away_goals_against,result
12.09.2022,Adana Demirspor,Trabzonspor,4,6,69,57,36,36,20,17,9,6,7,13,76,64,45,54,H
16.09.2022,Galatasaray,Konyaspor,1,8,88,51,36,36,28,12,4,15,4,9,83,49,27,41,H
16.09.2022,Hatayspor,Kayserispor,19,9,23,47,36,36,6,15,5,5,25,16,19,55,83,61,A
17.09.2022,Ümraniyespor,Kasimpasa,17,10,30,43,36,36,7,12,9,7,20,17,47,45,64,61,A
17.09.2022,Antalyaspor,Adana Demirspor,13,4,41,69,36,36,11,20,8,9,17,7,46,76,55,45,A
17.09.2022,İstanbulspor,Besiktas,12,3,41,78,36,36,12,23,5,9,19,4,47,78,63,36,D
18.09.2022,Istanbul Basaksehir,Fatih Karagümrük,5,7,62,51,36,36,18,13,8,12,10,11,54,75,37,63,D
18.09.2022,Trabzonspor,Gazişehir Gaziantep,6,18,57,25,36,36,17,6,6,7,13,23,64,31,54,72,H
18.09.2022,Fenerbahce,Alanyaspor,2,15,80,41,36,36,25,11,5,8,6,17,87,54,42,70,H
18.09.2022,Ankaragucu,Sivasspor,11,14,42,41,36,36,12,11,6,8,18,17,43,46,53,54,H
01.10.2022,Kasimpasa,Gazişehir Gaziantep,10,18,43,25,36,36,12,6,7,7,17,23,45,31,61,72,H
01.10.2022,Kayserispor,Trabzonspor,9,6,47,57,36,36,15,17,5,6,16,13,55,64,61,54,A
01.10.2022,Ankaragucu,Istanbul Basaksehir,11,5,42,62,36,36,12,18,6,8,18,10,43,54,53,37,A
01.10.2022,Adana Demirspor,Galatasaray,4,1,69,88,36,36,20,28,9,4,7,4,76,83,45,27,D
02.10.2022,Alanyaspor,Giresunspor,15,16,41,40,36,36,11,10,8,10,17,16,54,42,70,60,D
02.10.2022,Sivasspor,Hatayspor,14,19,41,23,36,36,11,6,8,5,17,25,46,19,54,83,A
02.10.2022,Konyaspor,Ümraniyespor,8,17,51,30,36,36,12,7,15,9,9,20,49,47,41,64,H
02.10.2022,Besiktas,Fenerbahce,3,2,78,80,36,36,23,25,9,5,4,6,78,87,36,42,D
03.10.2022,Fatih Karagümrük,İstanbulspor,7,12,51,41,36,36,13,12,12,5,11,19,75,47,63,63,A
07.10.2022,Gazişehir Gaziantep,Adana Demirspor,18,4,25,69,36,36,6,20,7,9,23,7,31,76,72,45,D
08.10.2022,İstanbulspor,Ankaragucu,12,11,41,42,36,36,12,12,5,6,19,18,47,43,63,53,A
08.10.2022,Antalyaspor,Konyaspor,13,8,41,51,36,36,11,12,8,15,17,9,46,49,55,41,D
08.10.2022,Giresunspor,Besiktas,16,3,40,78,36,36,10,23,10,9,16,4,42,78,60,36,A
09.10.2022,Ümraniyespor,Kayserispor,17,9,30,47,36,36,7,15,9,5,20,16,47,55,64,61,D
09.10.2022,Hatayspor,Alanyaspor,19,15,23,41,36,36,6,11,5,8,25,17,19,54,83,70,H
09.10.2022,Fenerbahce,Fatih Karagümrük,2,7,80,51,36,36,25,13,5,12,6,11,87,75,42,63,H
10.10.2022,Istanbul Basaksehir,Sivasspor,5,14,62,41,36,36,18,11,8,8,10,17,54,46,37,54,A
10.10.2022,Trabzonspor,Kasimpasa,6,10,57,43,36,36,17,12,6,7,13,17,64,45,54,61,D
14.10.2022,Alanyaspor,Antalyaspor,15,13,41,41,36,36,11,11,8,8,17,17,54,46,70,55,H
15.10.2022,Fatih Karagümrük,Hatayspor,7,19,51,23,36,36,13,6,12,5,11,25,75,19,63,83,H
15.10.2022,Kasimpasa,Adana Demirspor,10,4,43,69,36,36,12,20,7,9,17,7,45,76,61,45,A
15.10.2022,Konyaspor,Gazişehir Gaziantep,8,18,51,25,36,36,12,6,15,7,9,23,49,31,41,72,A
15.10.2022,Kayserispor,Galatasaray,9,1,47,88,36,36,15,28,5,4,16,4,55,83,61,27,H
16.10.2022,Istanbul Basaksehir,İstanbulspor,5,12,62,41,36,36,18,12,8,5,10,19,54,47,37,63,H
16.10.2022,Besiktas,Trabzonspor,3,6,78,57,36,36,23,17,9,6,4,13,78,64,36,54,D
17.10.2022,Sivasspor,Giresunspor,14,16,41,40,36,36,11,10,8,10,17,16,46,42,54,60,H
