tarih,ev_sahibi,deplasman,sonuc,skor,sezon,ev_puan_ort,ev_gol_ort,ev_yenilen_gol_ort,ev_galibiyet_orani,ev_lig_sirasi,dep_puan_ort,dep_gol_ort,dep_yenilen_gol_ort,dep_galibiyet_orani,dep_lig_sirasi
2023-06-07,Ankaragucu,Adana Demirspor,2,1-2,2022,1.0526315789473684,1.2105263157894737,1.368421052631579,0.21052631578947367,17,1.1578947368421053,1.4210526315789473,1.605263157894737,0.2631578947368421,12
2023-06-07,Besiktas,Konyaspor,X,3-3,2022,1.4736842105263157,1.368421052631579,1.236842105263158,0.42105263157894735,6,1.0789473684210527,1.0526315789473684,1.394736842105263,0.23684210526315788,16
2023-06-07,Hatayspor,Galatasaray,2,0-3,2022,1.0789473684210527,1.1842105263157894,1.368421052631579,0.23684210526315788,15,2.6842105263157894,2.4210526315789473,0.6842105263157895,0.868421052631579,1
2023-06-07,Fenerbahce,Gazişehir Gaziantep,1,3-0,2022,2.6052631578947367,2.6052631578947367,0.8157894736842105,0.8157894736842105,2,1.1578947368421053,1.3157894736842106,1.5,0.3157894736842105,11
2023-06-06,Istanbul Basaksehir,Trabzonspor,1,3-1,2022,1.605263157894737,1.5,1.131578947368421,0.47368421052631576,4,1.763157894736842,1.8157894736842106,1.3157894736842106,0.5526315789473685,3
2023-06-06,Fatih Karagümrük,Kasimpasa,1,3-0,2022,1.0526315789473684,1.2894736842105263,1.368421052631579,0.2631578947368421,18,1.4736842105263157,1.631578947368421,1.7105263157894737,0.42105263157894735,5
2023-06-06,Sivasspor,Kayserispor,X,1-1,2022,1.4210526315789473,1.236842105263158,1.4210526315789473,0.3684210526315789,7,1.105263157894737,1.1578947368421053,1.5,0.2894736842105263,14
2023-06-04,Galatasaray,Fenerbahce,1,3-0,2022,2.6842105263157894,2.4210526315789473,0.6842105263157895,0.868421052631579,1,2.6052631578947367,2.6052631578947367,0.8157894736842105,0.8157894736842105,2
2023-06-03,Trabzonspor,Alanyaspor,1,5-1,2022,1.763157894736842,1.8157894736842106,1.3157894736842106,0.5526315789473685,3,1.368421052631579,1.394736842105263,1.3157894736842106,0.3157894736842105,8
2023-06-03,Gazişehir Gaziantep,İstanbulspor,2,0-3,2022,1.1578947368421053,1.3157894736842106,1.5,0.3157894736842105,11,0.42105263157894735,0.7105263157894737,2.1052631578947367,0.10526315789473684,20
2023-06-03,Konyaspor,Fatih Karagümrük,X,1-1,2022,1.0789473684210527,1.0526315789473684,1.394736842105263,0.23684210526315788,16,1.0526315789473684,1.2894736842105263,1.368421052631579,0.2631578947368421,18
2023-06-03,Antalyaspor,Hatayspor,1,3-0,2022,1.2894736842105263,1.1578947368421053,1.2894736842105263,0.3157894736842105,10,1.0789473684210527,1.1842105263157894,1.368421052631579,0.23684210526315788,15
2023-06-03,Kayserispor,Ankaragucu,2,0-1,2022,1.105263157894737,1.1578947368421053,1.5,0.2894736842105263,14,1.0526315789473684,1.2105263157894737,1.368421052631579,0.21052631578947367,17
2023-06-03,Adana Demirspor,Istanbul Basaksehir,2,2-3,2022,1.1578947368421053,1.4210526315789473,1.605263157894737,0.2631578947368421,12,1.605263157894737,1.5,1.131578947368421,0.47368421052631576,4
2023-06-03,Kasimpasa,Besiktas,2,2-5,2022,1.4736842105263157,1.631578947368421,1.7105263157894737,0.42105263157894735,5,1.4736842105263157,1.368421052631579,1.236842105263158,0.42105263157894735,6
2023-05-30,Sivasspor,Konyaspor,1,1-0,2022,1.4210526315789473,1.236842105263158,1.4210526315789473,0.3684210526315789,7,1.0789473684210527,1.0526315789473684,1.394736842105263,0.23684210526315788,16
2023-05-30,Istanbul Basaksehir,Gazişehir Gaziantep,1,3-0,2022,1.605263157894737,1.5,1.131578947368421,0.47368421052631576,4,1.1578947368421053,1.3157894736842106,1.5,0.3157894736842105,11
2023-05-30,Alanyaspor,Kasimpasa,2,1-3,2022,1.368421052631579,1.394736842105263,1.3157894736842106,0.3157894736842105,8,1.4736842105263157,1.631578947368421,1.7105263157894737,0.42105263157894735,5
2023-05-30,Fenerbahce,Antalyaspor,1,2-0,2022,2.6052631578947367,2.6052631578947367,0.8157894736842105,0.8157894736842105,2,1.2894736842105263,1.1578947368421053,1.2894736842105263,0.3157894736842105,10
2023-05-30,Ankaragucu,Galatasaray,2,1-4,2022,1.0526315789473684,1.2105263157894737,1.368421052631579,0.21052631578947367,17,2.6842105263157894,2.4210526315789473,0.6842105263157895,0.868421052631579,1
2023-05-30,İstanbulspor,Adana Demirspor,2,0-2,2022,0.42105263157894735,0.7105263157894737,2.1052631578947367,0.10526315789473684,20,1.1578947368421053,1.4210526315789473,1.605263157894737,0.2631578947368421,12
2023-05-30,Fatih Karagümrük,Kayserispor,1,2-0,2022,1.0526315789473684,1.2894736842105263,1.368421052631579,0.2631578947368421,18,1.105263157894737,1.1578947368421053,1.5,0.2894736842105263,14
2023-05-22,Trabzonspor,Fatih Karagümrük,1,4-1,2022,1.763157894736842,1.8157894736842106,1.3157894736842106,0.5526315789473685,3,1.0526315789473684,1.2894736842105263,1.368421052631579,0.2631578947368421,18
2023-05-21,Adana Demirspor,Besiktas,2,1-4,2022,1.1578947368421053,1.4210526315789473,1.605263157894737,0.2631578947368421,12,1.4736842105263157,1.368421052631579,1.236842105263158,0.42105263157894735,6
2023-05-21,Antalyaspor,Istanbul Basaksehir,X,0-0,2022,1.2894736842105263,1.1578947368421053,1.2894736842105263,0.3157894736842105,10,1.605263157894737,1.5,1.131578947368421,0.47368421052631576,4
