home_team_form,home_team_goals_scored,home_team_goals_conceded,home_team_wins,home_team_draws,home_team_losses,home_team_first_half_goals,home_team_clean_sheets,home_team_both_scored,home_team_over_25,home_team_last_5_form,home_team_last_5_goals,home_team_win_streak,home_team_unbeaten,home_team_scoring_streak,home_team_form_trend,home_team_goals_trend,home_team_conceded_trend,home_team_last_3_goals_avg,home_team_last_3_conceded_avg,home_team_first_half_dominance,home_team_second_half_dominance,home_team_comebacks,away_team_form,away_team_goals_scored,away_team_goals_conceded,away_team_wins,away_team_draws,away_team_losses,away_team_first_half_goals,away_team_clean_sheets,away_team_both_scored,away_team_over_25,away_team_last_5_form,away_team_last_5_goals,away_team_win_streak,away_team_unbeaten,away_team_scoring_streak,away_team_form_trend,away_team_goals_trend,away_team_conceded_trend,away_team_last_3_goals_avg,away_team_last_3_conceded_avg,away_team_first_half_dominance,away_team_second_half_dominance,away_team_comebacks,result,both_scored,over_25,total_goals,first_half_goals
66.66666666666666,4,3,1,2,0,0,1,2,1,0.0,4,1,3,2,0.0,0.0,0.0,1.33,1.0,0,1,1,25.0,8,12,1,0,3,7,1,2,3,0.0,8,0,0,0,1.0,2.67,2.67,2.67,3.67,1,1,0,1,1,1,3,1
75.0,8,5,1,1,0,4,0,2,2,0.0,8,1,2,2,0.0,0.0,0.0,4.0,2.5,1,1,0,66.66666666666666,9,6,2,0,1,4,0,3,3,0.0,9,2,2,3,0.0,0.0,0.0,3.0,2.0,1,1,0,2,0,0,1,1
33.33333333333333,3,3,1,0,2,1,1,1,1,0.0,3,0,0,1,0.0,0.0,0.0,1.0,1.0,1,1,0,33.33333333333333,5,8,1,0,2,0,0,3,3,0.0,5,0,0,3,0.0,0.0,0.0,1.67,2.67,0,1,1,1,1,1,4,2
25.0,1,2,0,1,1,1,1,1,1,0.0,1,0,1,0,0.0,0.0,0.0,0.5,1.0,0,0,0,25.0,2,5,0,1,1,1,1,1,1,0.0,2,0,0,1,0.0,0.0,0.0,1.0,2.5,0,0,0,1,1,1,3,2
66.66666666666666,7,4,2,0,1,3,1,2,3,0.0,7,0,0,3,0.0,0.0,0.0,2.33,1.33,1,2,0,50.0,3,3,0,2,0,1,1,1,1,0.0,3,0,2,0,0.0,0.0,0.0,1.5,1.5,0,1,1,1,1,1,5,3
83.33333333333334,3,1,2,1,0,0,2,1,1,0.0,3,0,3,0,0.0,0.0,0.0,1.0,0.33,0,2,0,66.66666666666666,7,7,2,0,1,2,1,2,2,0.0,7,2,2,3,0.0,0.0,0.0,2.33,2.33,2,2,0,2,1,1,3,3
0.0,4,10,0,0,3,3,0,2,3,0.0,4,0,0,2,0.0,0.0,0.0,1.33,3.33,2,0,0,66.66666666666666,2,1,1,2,0,1,2,1,0,0.0,2,0,3,2,0.0,0.0,0.0,0.67,0.33,1,0,0,0,1,0,2,2
37.5,6,10,1,1,2,2,1,2,3,0.0,6,1,1,1,-2.67,-4.67,0.67,0.33,2.67,1,1,0,50.0,8,6,1,1,1,4,0,2,2,0.0,8,1,2,2,0.0,0.0,0.0,2.67,2.0,1,1,0,1,0,0,2,1
20.0,9,14,1,0,4,8,1,3,4,0.0,9,0,0,0,1.0,1.33,-0.33,2.33,2.67,2,1,0,50.0,3,3,1,1,1,2,1,2,2,0.0,3,0,1,0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0
25.0,1,8,1,0,3,1,1,0,2,0.0,1,1,1,1,-3.0,-1.0,2.67,0.0,2.67,1,0,0,12.5,5,11,0,1,3,4,0,3,3,0.0,5,0,0,2,0.33,-1.0,-0.33,1.0,2.67,2,0,0,1,0,0,1,0
